reviews,score,likes,time,app_name,year,reviews_en
"Olá! Sei que é um app que está em teste, está bom, e sei que pode melhorar em muito, há ainda muito travamento em jogos, atraso na jogabilidade e imagens com qualidade inferior quando se há muitas pessoas jogando ao mesmo tempo, mas creio que tudo isso vai melhorar. E quando estiver disponível para Android TV, seja um smarttv ou set-up-box na minha opinião, será a melhor experiência de todas.",4,586,13/11/2021,Xbox Game Pass (Beta),2021,"Hello! I know it's an app that's being tested, it's good, and I know it can improve a lot, there's still a lot of crashes in games, gameplay delay and lower quality images when there are many people playing at the same time, but I think that everything it will get better. And when it's available for Android TV, be it a smarttv or set-up-box in my opinion, it will be the best experience ever."
"O app é excelente, a questão é que existem alguns glitches de compatibilidade com os games de Touch. Um exemplo é o Gears 5, que no Cloud Gaming de Celular, possui um glitch no ato final da campanha que deixa impossível de se zerar o game pelo celular.. No geral, a equipe que cuida desses aplicativos do Xbox é lenta em atualizações, mesmo que seja um bom aplicativo.",4,369,19/07/2022,Xbox Game Pass (Beta),2022,"The app is excellent, the issue is that there are some compatibility glitches with Touch games. An example is Gears 5, which in Cloud Gaming for Cell Phones, has a glitch in the final act of the campaign that makes it impossible to reset the game on the cell phone. even if it's a good app."
"Sei que ainda está em beta mas, seria interessante adicionar suporte a toque na tela em todos os jogos, mesmo se fosse com os botões básicos, e nós pudéssemos personalizar a posição deles, pois em certos jogos é possível jogar só com os botões básicos. Isso já ajudaria bastante para que todos pudessem jogar, porque nem todos tem um controle ou gamepad com arquitetura do Xbox. Espero que isso um dia possa ser possível, tornando tudo mais acessível para os players do celular.",3,509,23/11/2021,Xbox Game Pass (Beta),2021,"I know it's still in beta, but it would be interesting to add support for touching the screen in all games, even if it was with the basic buttons, and we could customize their position, because in certain games it's possible to play with just the basic buttons. This would already help a lot so that everyone could play, because not everyone has a controller or gamepad with Xbox architecture. I hope that one day this will be possible, making everything more accessible for mobile players."
"Ficou top o visual da nova versão. Deveriam unificar esse app e o app padrão do Xbox, pra ficar tudo centralizado num app. Está faltando visualizar as notas, opiniões dos jogos e PRINCIPALMENTE os filtros de funcionalidades para encontrarmos jogos, ex: HDR10, xbox play Anywhere, Multiplayer local, Coop Local , etc . Esse filtro de funcionalidades é indispensável para procurar os jogos. Fora isso, cada vez está ficando melhor os recursos do Xbox. Isso aí microsoft, não pare de inovar e melhorar",5,289,02/07/2020,Xbox Game Pass (Beta),2020,"The look of the new version was top. They should unify this app and the standard Xbox app, to be all centralized in one app. It is missing to view the notes, game opinions and MAINLY the feature filters to find games, ex: HDR10, xbox play Anywhere, Local Multiplayer, Coop Local, etc. This functionality filter is essential to search for games. Other than that, Xbox features are getting better every time. That's right microsoft, don't stop innovating and improving"
"O aplicativo é realmente muito bom, é o que todos esperavam que fosse, reclamações como travamentos lag e problemas de áudio obviamente são pela instabilidade da internet de quem ó usa e não um problema do serviço. A única reclamação que acredito que seja uma observação a desenvolvedora seria melhorar o reconhecimento do controle pois muitas das vezes acaba não reconhecendo ele mesmo estando conectado, fora isso incrível!!!",5,44,19/10/2021,Xbox Game Pass (Beta),2021,"The app is really good, it's what everyone expected it to be, complaints like lag crashes and audio problems are obviously due to the instability of the internet for those who use it and not a problem with the service. The only complaint that I believe is an observation to the developer would be to improve the recognition of the control because many times it ends up not recognizing it even when connected, other than that incredible !!!"
Quase perfeito .alguns bugs relevantes mas . Pra ficar muito show seria nós podermos jogas nossas mídias digitais comprada es constrangedor não poder fazer isso,4,1,14/04/2023,Xbox Game Pass (Beta),2023,"Almost perfect .some relevant bugs but . To really show it would be us being able to play our purchased digital media, it's embarrassing not being able to do that"
"O jogo Age Of Empires tá com um narrador ativado e não tem como desligar. Só o pessoal da Microsoft... Alguém deixou ativado. E não é minhas configurações. Acontece tanto no Xbox Game Pass normal quanto no beta, sendo assim é problema no game.",3,4,11/02/2023,Xbox Game Pass (Beta),2023,"The Age Of Empires game has a narrator activated and there is no way to turn it off. Only Microsoft people... Someone left it turned on. And it's not my settings. It happens both in normal Xbox Game Pass and in beta, so it's a problem in the game."
Seria interessante também jogar no teclado e mouse quando estiver jogando no computador além do controle alguns jogos como fortnite jogar controle versus PC fica difícil aí seria bom se pudesse jogar no teclado,5,0,17/04/2023,Xbox Game Pass (Beta),2023,It would also be interesting to play on the keyboard and mouse when playing on the computer in addition to the controller some games like fortnite playing controller versus PC is difficult then it would be good if you could play on the keyboard
"Eu amo muito esse serviço. Sou assinante a 1 ano e meio quase, e jogo pelo navegador. Pq não tem como defender esse app mal otimizado. Serviço 10/10 e APP lixo",1,4,12/04/2023,Xbox Game Pass (Beta),2023,"I really love this service. I've been a subscriber for almost 1 year and a half, and I play through the browser. Because there is no way to defend this poorly optimized app. 10/10 service and rubbish APP"
Uma otimo trabalho so ta faltando jogos tipo gta san Andreas. gta v jogos gratis para o jogador ter experiência incrível nunca vista por empresas de games na nuvem valeu esperamos sua atualização gosto muito msm desse tipo de trabalho muito vcs sou grato por ter jogado nesse emulador gratis,5,0,13/04/2023,Xbox Game Pass (Beta),2023,A great job just missing games like gta san andreas. gta v free games for the player to have an incredible experience never seen by game companies in the cloud thanks we wait for your update I really like this type of work very much you guys I am grateful to have played in this free emulator
"Falta suporte a tela widescreen, com ajuste automático de borda, para melhor utilização da tela e monitor!!! O app não está disponível no Mi Stick Chromecast!!!",1,5,08/03/2023,Xbox Game Pass (Beta),2023,"Widescreen support is missing, with automatic border adjustment, for better use of the screen and monitor!!! The app is not available on Mi Stick Chromecast!!!"
"tem muitos bugs ainda. um mesmo é quando tem mais de um dispositivo conectado no bluetooth, a imagem fica horrível.",4,2,01/03/2023,Xbox Game Pass (Beta),2023,"still has many bugs. the same is when you have more than one device connected to bluetooth, the image is horrible."
"O game pass é (na minha opiniao) o melhor serviço e principalmente o maravilhoso xcloud, eu só jogo em cloud pq n tenho xbox e um pc batata, mas sinto que falta uns jogos AAA no xcloud, poderiam colocar suporte para teclado e mouse e a opção de comprar jogos",5,2,22/02/2023,Xbox Game Pass (Beta),2023,"The game pass is (in my opinion) the best service and especially the wonderful xcloud, I only play in the cloud because I don't have xbox and a potato pc, but I feel that xcloud is missing some AAA games, could they put support for keyboard and mouse and the option to buy games"
"O app esta bom, porém ainda há muito travamentos tanto no beta quanto no normal, alguns jogos ficam caindo qualidade e trava bastante e também o delay na jogabilidade atrapalha um pouco",4,0,20/03/2023,Xbox Game Pass (Beta),2023,"The app is good, but there are still a lot of crashes both in the beta and in the normal one, some games are dropping in quality and crashes a lot and also the delay in gameplay interferes a little"
"Meu controle não funciona o analógico, sendo que é original Xbox Series S, no Console e PC funciona normal, já aqui não, já habilitei tudo, desinstalei e instalei novamente, e mesmo tentando tudo não vai, tentei até conectando via a cabo e não foi, gostaria que isso fosse resolvido, pois fico limitado a pode jogar somente no PC e no Console e no celular somente por toque.",4,25,15/12/2022,Xbox Game Pass (Beta),2022,"My analogue control doesn't work, since it's an original Xbox Series S, on the Console and PC it works normally, not here anymore, I've enabled everything, uninstalled and installed it again, and even trying everything doesn't work, I even tried connecting via cable and it doesn't work was, I would like this to be resolved, as I am limited to being able to play only on PC and Console and on mobile only by touch."
Simplesmente não aparecem mais mais os jogos que já foram jogados. E opção de jogar na nuvem foi removida. Permitindo apenas instalar.,3,1,16/03/2023,Xbox Game Pass (Beta),2023,Games that have already been played simply no longer appear. And option to play in the cloud has been removed. Allowing only install.
"Poderia ter a opção de controles na tela, e também poder aumentar a resolução da imagem e deixar em tela cheia nos celulares.",4,0,10/02/2023,Xbox Game Pass (Beta),2023,"It could have the option of controls on the screen, and also be able to increase the resolution of the image and leave it in full screen on cell phones."
